Year,Quarter,Total_Amount_Billion,query
2018,1,171.83,query1
2018,2,304.37,query1
2018,3,475.1,query1
2018,4,671.74,query1
2019,1,990.02,query1
2019,2,1354.21,query1
2019,3,1672.56,query1
2019,4,2259.89,query1
2020,1,2697.11,query1
2020,2,2646.15,query1
2020,3,3902.05,query1
2020,4,5395.85,query1
2021,1,6284.24,query1
2021,2,7476.47,query1
2021,3,9216.7,query1
2021,4,11621.29,query1
2022,1,13239.63,query1
2022,2,15504.19,query1
2022,3,16607.63,query1
2022,4,18914.89,query1
2023,1,20513.96,query1
2023,2,22918.49,query1
2023,3,24012.13,query1
2023,4,27047.23,query1
2024,1,29458.43,query1
2024,2,31820.35,query1
2024,3,32346.97,query1
2024,4,35998.8,query1
